h		v		prune		score
1		1		0.01		0.55956475838
1		2		0.01		0.0
1		3		0.01		0.0
1		4		0.01		0.0
2		1		0.01		0.459393753525
2		2		0.01		0.0
2		3		0.01		0.0
2		4		0.01		0.0
3		1		0.01		0.304832746439
3		2		0.01		0.0
3		3		0.01		0.0
3		4		0.01		0.0
4		1		0.01		0.269012326563
4		2		0.01		0.0
4		3		0.01		0.0
4		4		0.01		0.0
