h		v		prune		score
1		1		0.001		0.90036060298
1		2		0.001		0.0
1		3		0.001		0.0
1		4		0.001		0.0
2		1		0.001		0.877510522422
2		2		0.001		0.0
2		3		0.001		0.0
2		4		0.001		0.0
3		1		0.001		0.770934861414
3		2		0.001		0.0
3		3		0.001		0.0
3		4		0.001		0.0
4		1		0.001		0.761107527245
4		2		0.001		0.0
4		3		0.001		0.0
4		4		0.001		0.0
